,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
2219,121,20,10,0,2
2220,62,10,97,0,3
2221,61,6,48,0,2
2222,93,13,55,0,9
2223,64,24,92,0,5
2224,113,9,43,0,4
2225,276,33,91,0,1
2226,89,6,49,1,3
2227,61,8,91,0,1
2228,87,2,70,0,2
2229,180,13,86,2,1
2230,186,35,39,1,8
2231,64,18,80,0,7
2232,107,7,4,0,2
2233,94,22,77,0,3
2234,136,35,93,0,1
2235,90,15,55,0,3
2236,65,29,32,0,3
2237,172,23,6,0,1
2238,100,35,3,0,6
2239,88,11,82,3,4
2240,135,0,86,0,1
2241,65,15,58,0,1
2242,69,11,5,0,2
2243,61,7,52,0,9
2244,123,18,5,0,3
2245,77,29,21,0,2
2246,71,30,96,0,1
2247,65,19,7,0,9
2248,132,13,33,0,2
2249,105,5,87,0,3
2250,74,8,36,0,4
2251,61,20,61,0,1
2252,69,3,66,0,2
2253,92,22,31,0,8
2254,82,19,14,2,8
2255,69,8,38,0,9
2256,86,23,76,0,4
2257,67,28,2,0,6
2258,103,26,15,0,3
2259,72,21,32,0,7
2260,98,19,96,1,1
2261,215,4,21,1,1
2262,113,32,77,0,1
2263,110,0,35,0,1
2264,116,2,64,0,2
2265,118,12,70,1,9
2266,166,19,63,0,1
2267,66,0,93,1,1
2268,110,6,62,0,1
2269,71,11,37,0,6
2270,80,17,96,0,5
2271,110,15,76,0,1
2272,65,23,73,0,1
2273,72,4,17,0,1
2274,62,3,45,0,4
2275,64,5,80,0,6
2276,74,19,19,0,3
2277,69,13,74,0,1
2278,62,6,44,1,2
2279,70,0,92,0,3
2280,68,17,77,0,2
2281,102,0,82,3,2
2282,69,27,85,1,2
2283,91,32,4,0,2
2284,95,13,20,0,5
2285,117,13,73,0,3
2286,212,15,71,0,7
2287,106,27,66,0,2
2288,74,26,51,0,1
2289,105,14,4,0,4
2290,87,10,43,0,4
2291,67,11,96,0,1
2292,199,21,54,0,3
2293,71,4,45,0,1
2294,249,12,86,0,2
2295,134,6,77,3,4
2296,84,25,44,0,1
2297,65,8,5,0,1
2298,116,10,89,0,2
2299,61,24,2,0,2
2300,116,15,80,0,1
2301,117,24,36,0,1
2302,109,1,29,0,1
2303,105,1,79,0,2
2304,117,26,68,0,3
2305,94,19,98,2,4
2306,66,6,54,2,1
2307,91,7,53,0,4
2308,128,7,68,3,1
2309,125,27,97,4,1
2310,181,13,16,0,1
2311,139,4,35,0,2
2312,83,3,72,3,1
2313,72,8,61,0,2
2314,187,34,7,0,2
2315,73,24,47,0,3
2316,107,9,18,0,1
2317,111,3,59,0,9
2318,136,7,61,2,3
2319,69,19,49,0,9
2320,66,12,32,0,1
2321,84,32,27,2,3
2322,62,8,20,0,7
2323,74,20,3,0,2
2324,64,27,30,0,1
2325,63,25,56,1,4
2326,72,14,55,0,1
2327,86,18,8,0,6
2328,101,1,83,4,1
2329,68,8,86,0,2
2330,111,30,86,0,3
2331,129,15,42,0,3
2332,69,17,60,0,2
2333,61,9,16,1,1
2334,64,2,93,0,8
2335,122,15,85,0,1
2336,240,3,58,0,2
2337,106,9,4,0,1
2338,196,11,86,0,5
2339,64,1,56,0,3
2340,63,3,35,4,4
2341,84,17,5,0,2
2342,123,35,98,0,7
2343,93,24,25,0,2
2344,78,32,37,0,5
2345,89,8,83,4,1
2346,67,3,30,2,2
2347,105,2,84,0,5
2348,71,20,4,0,1
2349,102,16,1,1,1
2350,189,11,7,0,8
2351,63,19,28,1,3
2352,107,17,39,0,5
2353,113,11,40,0,6
2354,62,16,61,0,1
2355,70,6,95,2,1
2356,101,18,43,0,6
2357,78,19,18,0,1
2358,61,6,48,0,2
2359,103,14,79,0,1
2360,134,15,71,0,1
2361,67,4,6,0,2
2362,68,35,35,0,1
2363,62,15,7,0,2
2364,181,18,36,0,2
2365,66,30,96,1,9
2366,79,15,94,0,1
2367,68,2,33,0,2
2368,78,19,18,0,1
2369,73,15,72,0,2
2370,76,14,27,0,2
2371,106,4,67,0,1
2372,99,16,0,2,1
2373,181,22,79,0,8
2374,96,8,90,0,1
2375,72,6,7,1,8
2376,68,21,93,0,1
2377,80,23,4,0,1
2378,66,23,38,0,4
2379,84,21,2,1,5
2380,79,22,82,0,2
2381,96,31,34,0,1
2382,68,28,86,1,1
2383,115,14,42,0,2
2384,85,4,13,0,1
2385,117,17,41,1,9
2386,100,5,6,0,2
2387,74,22,31,0,1
2388,72,9,40,0,5
2389,62,4,58,1,1
2390,74,6,99,0,9
2391,109,27,30,0,2
2392,61,16,55,0,1
2393,73,35,47,0,1
2394,72,20,90,0,2
2395,68,15,20,0,1
2396,106,22,51,1,8
2397,68,25,89,3,1
2398,106,15,39,0,1
2399,62,3,12,0,5
2400,103,8,35,0,1
2401,69,23,66,0,1
2402,84,2,64,1,2
2403,108,9,71,0,2
2404,71,33,39,1,3
2405,117,11,37,0,3
2406,85,27,20,0,1
2407,61,7,35,0,3
2408,114,0,35,0,2
2409,79,7,2,1,1
2410,63,9,13,0,3
2411,113,11,86,0,1
2412,72,1,62,0,8
2413,61,27,2,1,2
2414,91,33,38,0,2
2415,73,18,45,0,5
2416,114,2,45,0,7
2417,66,21,87,3,2
2418,72,5,38,0,9
2419,68,6,94,0,2
2420,72,27,21,2,2
2421,71,35,7,1,2
2422,113,4,92,0,2
2423,122,1,94,0,1
2424,225,5,99,0,1
2425,71,21,51,4,5
2426,69,0,32,0,7
2427,74,1,83,0,9
2428,86,6,65,3,2
2429,124,28,49,0,1
2430,63,0,22,0,2
2431,137,12,38,0,1
2432,117,34,61,0,3
2433,67,25,74,0,4
2434,63,16,42,0,2
2435,73,29,38,0,1
2436,62,28,40,0,2
2437,99,9,17,0,1
2438,65,4,35,0,1
2439,76,10,29,0,2
2440,70,12,64,2,8
2441,113,5,90,0,2
2442,61,16,29,0,1
2443,64,27,32,3,5
2444,65,5,68,3,9
2445,61,26,71,0,1
2446,76,11,97,0,1
2447,71,4,19,0,1
2448,127,4,50,0,2
2449,130,12,15,0,1
2450,66,34,84,0,4
2451,66,9,85,0,3
2452,199,12,92,0,5
2453,192,22,68,1,1
2454,77,4,65,0,1
2455,78,14,15,1,7
2456,117,27,27,0,3
2457,112,27,46,0,4
2458,92,7,89,0,2
2459,118,31,83,0,1
2460,110,1,28,0,9
2461,65,2,73,0,8
2462,201,29,67,0,2
2463,100,5,72,0,3
2464,85,15,17,0,4
2465,85,31,28,0,1
2466,74,19,33,0,3
2467,63,3,5,0,6
2468,74,14,38,0,2
2469,97,10,3,0,2
2470,73,5,85,0,4
2471,116,20,9,2,6
2472,102,4,45,0,6
2473,119,14,87,0,7
2474,80,15,83,0,1
2475,89,32,99,0,1
2476,102,34,78,1,1
2477,81,0,41,0,1
2478,74,24,98,0,5
2479,71,7,31,0,1
2480,116,6,28,0,2
2481,245,21,56,0,2
2482,69,34,13,1,1
2483,98,29,81,0,1
2484,106,13,42,0,1
2485,86,21,35,0,3
2486,72,11,3,0,1
2487,64,0,56,0,3
2488,106,18,95,0,2
2489,100,1,25,0,4
2490,118,5,22,0,8
2491,84,7,1,0,1
2492,74,29,52,0,8
2493,68,33,48,0,2
2494,119,5,31,0,3
2495,61,32,42,0,3
2496,193,11,85,0,1
2497,97,27,59,0,1
2498,68,5,9,0,1
2499,124,15,86,0,8
2500,73,8,87,0,7
2501,77,31,33,0,3
2502,116,12,45,0,1
2503,131,18,62,1,3
2504,295,11,69,0,2
2505,111,17,53,2,6
2506,131,16,11,0,1
2507,111,31,76,0,1
2508,81,27,19,0,2
2509,79,6,55,0,1
2510,69,23,0,0,3
2511,65,28,48,0,1
2512,61,7,38,0,1
2513,68,0,62,0,3
2514,63,21,12,0,1
2515,108,16,83,0,2
2516,113,12,70,3,1
2517,68,11,90,0,4
2518,118,33,20,0,1
2519,72,22,58,0,5
2520,116,8,23,0,8
2521,70,12,58,0,2
2522,73,31,11,0,1
2523,117,4,11,0,2
2524,67,9,78,0,1
2525,191,29,6,0,1
2526,92,30,67,0,2
2527,84,0,76,0,4
2528,114,10,83,0,8
2529,119,6,97,0,7
2530,98,6,67,0,3
2531,74,6,61,0,1
2532,82,13,87,0,7
2533,187,2,84,0,3
2534,77,16,19,0,1
2535,70,10,37,0,9
2536,113,10,97,0,9
2537,106,15,20,0,3
2538,67,0,13,0,9
2539,65,15,26,0,3
2540,116,25,88,1,2
2541,83,15,8,0,1
2542,66,27,28,0,3
2543,139,16,50,0,1
2544,63,29,78,0,1
2545,73,4,77,0,1
2546,199,25,15,0,7
2547,186,27,76,2,1
2548,67,18,58,0,1
2549,92,31,24,1,1
2550,123,14,97,0,1
2551,123,3,49,0,6
2552,64,21,73,0,1
2553,85,34,40,1,1
2554,109,26,75,0,3
2555,109,4,27,1,1
2556,63,15,67,0,1
2557,71,32,21,2,9
2558,61,7,71,3,9
2559,72,22,1,3,1
2560,112,9,51,0,4
2561,70,6,61,3,2
2562,71,20,35,0,2
2563,130,22,27,0,1
2564,106,7,17,0,3
2565,119,17,23,0,1
2566,115,35,30,0,2
2567,73,6,97,0,9
2568,90,13,7,0,8
2569,76,7,16,0,2
2570,110,6,43,0,1
2571,69,4,0,0,9
2572,64,20,4,0,1
2573,68,13,98,0,1
2574,73,29,78,0,1
2575,82,18,2,0,8
2576,74,12,94,0,8
2577,79,29,81,2,8
2578,106,0,87,0,8
2579,127,23,60,0,3
2580,67,26,4,0,3
2581,71,4,89,0,8
2582,73,12,84,0,1
2583,115,22,78,0,2
2584,71,16,38,0,2
2585,62,19,57,0,3
2586,72,11,90,0,1
2587,124,12,58,0,2
2588,67,6,29,0,1
2589,73,8,63,0,1
2590,67,10,38,0,9
2591,78,27,75,0,9
2592,130,12,15,0,1
2593,113,20,44,0,9
2594,115,28,84,0,1
2595,76,20,17,0,6
2596,61,17,1,1,7
2597,62,17,29,1,1
2598,62,31,30,1,2
2599,66,34,74,0,1
2600,181,21,22,2,2
2601,96,19,30,0,1
2602,82,31,38,0,2
2603,62,22,57,0,9
2604,109,27,88,0,1
2605,82,29,61,1,2
2606,67,1,19,0,1
2607,239,19,59,0,7
2608,89,10,83,0,1
2609,69,31,89,0,5
2610,102,3,46,0,3
2611,106,16,23,0,1
2612,69,5,74,0,1
2613,125,16,29,0,9
2614,111,4,69,0,3
2615,61,26,62,0,2
2616,107,11,47,2,6
2617,96,2,53,0,1
2618,74,2,45,0,2
2619,66,7,56,0,1
2620,114,24,10,3,9
2621,132,5,97,0,8
2622,117,3,93,0,1
2623,199,0,74,0,1
2624,80,28,97,0,1
2625,66,7,28,0,2
2626,98,19,96,1,1
2627,71,29,70,0,1
2628,71,29,62,0,1
2629,115,0,3,0,3
2630,63,21,23,0,7
2631,110,22,72,0,9
2632,74,3,20,0,2
2633,64,31,31,0,2
2634,103,8,50,0,1
2635,65,28,19,0,2
2636,73,4,47,0,2
2637,118,30,76,0,9
2638,97,4,11,0,4
2639,63,11,2,0,1
2640,68,4,31,0,4
2641,101,8,89,0,1
2642,87,2,41,0,3
2643,69,0,86,0,1
2644,66,19,22,0,2
2645,79,29,17,0,4
2646,82,4,9,1,7
2647,64,0,32,0,1
2648,69,4,92,2,3
2649,62,12,53,0,3
2650,128,6,81,0,1
2651,83,18,86,1,4
2652,110,31,20,0,2
2653,62,35,47,2,1
2654,117,16,35,0,9
2655,66,12,71,0,1
2656,67,33,57,0,5
2657,69,13,75,0,1
2658,108,3,44,0,3
2659,62,22,39,0,6
2660,61,27,12,0,3
2661,70,13,8,0,3
2662,111,23,95,0,3
2663,82,14,23,0,6
2664,89,6,17,0,2
2665,83,30,72,0,7
2666,74,0,52,0,1
2667,64,4,0,1,6
2668,109,16,70,1,1
2669,73,7,78,0,5
2670,66,13,59,0,1
2671,92,1,17,0,6
2672,64,13,41,0,5
2673,115,8,19,0,3
2674,80,14,84,0,1
2675,61,17,30,0,4
2676,110,17,44,0,8
2677,86,4,56,0,8
2678,85,32,55,0,8
2679,64,32,60,1,1
2680,110,4,61,0,1
2681,90,4,18,0,5
2682,72,18,31,1,3
2683,66,32,30,0,7
2684,67,6,60,1,1
2685,108,21,9,0,3
2686,195,31,15,0,1
2687,67,35,7,0,1
2688,70,21,31,0,1
2689,112,12,93,0,3
2690,87,6,73,0,7
2691,72,9,69,4,3
2692,79,32,2,0,3
2693,84,32,96,0,4
2694,180,0,95,0,1
2695,216,17,0,0,1
2696,115,14,6,0,3
2697,74,33,92,0,4
2698,79,15,32,0,3
2699,100,31,80,0,1
2700,87,15,59,0,3
2701,114,18,35,0,1
2702,65,7,47,0,2
2703,117,30,78,0,3
2704,66,15,75,0,2
2705,66,11,4,0,1
2706,71,17,79,0,6
2707,105,8,50,0,4
2708,114,25,12,0,4
2709,159,19,75,0,2
2710,125,7,99,0,3
2711,81,10,80,3,3
2712,110,28,16,0,1
2713,173,24,21,0,2
2714,115,10,46,4,4
2715,83,18,79,0,7
2716,109,32,41,0,3
2717,66,26,0,0,3
2718,182,24,45,0,1
2719,111,18,63,0,1
2720,103,6,73,0,2
2721,104,19,65,2,1
2722,76,0,91,0,2
2723,117,0,65,0,4
2724,109,3,71,1,5
2725,63,3,64,0,1
2726,72,3,65,2,3
2727,65,2,46,0,9
2728,71,25,81,0,5
2729,72,8,59,3,1
2730,69,3,22,0,1
2731,68,20,97,5,1
2732,199,7,44,1,1
2733,106,29,38,0,1
2734,64,23,83,0,1
2735,122,33,28,0,2
2736,87,35,3,0,1
2737,80,33,72,0,1
2738,65,10,10,0,2
2739,63,33,41,0,5
2740,71,2,21,1,3
2741,72,28,86,0,3
2742,86,8,63,0,1
2743,68,10,48,0,3
2744,69,31,25,0,7
2745,65,35,78,0,1
2746,66,7,36,0,2
2747,119,34,65,0,1
2748,61,5,88,0,1
2749,72,8,61,1,2
2750,66,29,9,0,1
2751,65,7,97,0,1
2752,95,10,5,0,5
2753,116,19,2,0,1
2754,88,15,1,1,1
2755,64,22,22,0,4
2756,101,10,48,0,2
2757,92,3,9,0,1
2758,89,1,45,2,9
2759,139,1,19,0,2
2760,196,8,87,0,1
2761,66,6,55,2,2
2762,72,6,42,0,1
2763,105,12,82,0,1
2764,106,11,54,0,2
2765,71,22,25,0,1
2766,90,26,19,3,1
2767,65,10,7,0,1
2768,71,16,77,1,3
2769,67,4,26,0,2
2770,194,0,22,0,2
2771,63,22,7,3,1
2772,91,23,21,0,3
2773,138,31,99,0,1
2774,111,15,12,0,2
2775,133,0,59,0,2
2776,74,21,96,0,1
2777,61,33,71,0,2
2778,103,20,55,0,1
2779,72,35,86,0,2
2780,69,32,21,0,2
2781,67,4,44,0,1
2782,62,1,73,0,3
2783,66,21,57,0,1
2784,69,16,16,2,2
2785,65,33,38,0,1
2786,149,4,76,0,2
2787,105,9,21,0,1
2788,65,12,25,3,2
2789,112,19,0,0,3
2790,103,8,50,0,1
2791,84,29,39,0,3
2792,117,25,43,0,2
2793,113,1,1,0,3
2794,106,21,25,0,9
2795,68,31,69,2,2
2796,63,20,36,0,1
2797,74,13,30,0,4
2798,66,9,56,0,1
2799,61,6,56,4,1
2800,89,35,65,0,8
2801,76,18,58,0,5
2802,91,26,45,0,2
2803,73,16,71,0,1
2804,97,10,3,0,2
2805,90,16,66,2,6
2806,71,27,43,0,1
2807,122,26,5,1,2
2808,131,25,36,0,1
2809,64,20,14,0,2
2810,66,11,35,0,9
2811,136,25,10,1,1
2812,77,15,89,0,1
2813,69,4,39,0,5
2814,69,27,36,0,1
2815,118,16,4,0,1
2816,70,18,23,0,2
2817,86,8,37,0,1
2818,71,13,20,0,2
2819,108,28,10,0,1
2820,64,2,32,0,3
2821,130,12,15,0,1
2822,74,14,22,2,8
2823,96,6,60,0,1
2824,107,13,98,0,4
2825,106,11,54,0,2
2826,96,0,38,0,3
2827,136,7,34,0,3
2828,112,14,11,0,1
2829,62,0,50,2,1
2830,121,13,95,0,3
2831,110,16,17,0,5
2832,72,17,74,2,1
2833,72,20,89,0,5
2834,71,3,18,1,2
2835,71,8,4,0,2
2836,102,20,7,1,2
2837,105,15,72,1,1
2838,61,5,90,0,1
2839,124,18,70,0,1
2840,72,4,73,0,1
2841,122,15,47,0,9
2842,81,26,74,0,9
2843,72,15,70,0,2
2844,62,1,47,0,2
2845,116,11,35,0,3
2846,68,11,83,0,9
2847,90,25,79,0,6
2848,69,23,52,0,9
2849,67,10,75,0,7
2850,77,3,34,0,4
2851,83,7,49,1,6
2852,86,22,64,1,2
2853,96,29,59,0,2
2854,114,20,87,0,1
2855,85,14,81,0,7
2856,63,15,61,0,1
2857,69,2,36,1,6
2858,91,30,56,0,7
2859,105,17,14,0,3
2860,69,19,33,0,1
2861,93,25,89,0,2
2862,99,16,20,0,1
2863,61,28,14,0,2
2864,73,0,99,3,1
2865,72,23,10,0,9
2866,68,25,12,0,4
2867,63,21,78,0,7
2868,119,9,8,0,3
2869,107,8,52,2,8
2870,73,13,33,0,1
2871,67,25,5,1,1
2872,95,14,78,0,9
2873,94,31,28,0,1
2874,68,10,53,0,2
2875,136,34,29,0,1
2876,185,5,69,0,5
2877,63,22,96,0,1
2878,67,10,71,0,3
2879,92,23,47,0,3
2880,144,23,28,0,8
2881,72,3,18,0,5
2882,94,23,34,0,2
2883,118,13,32,0,1
2884,61,19,24,0,8
2885,64,10,47,0,1
2886,65,8,91,0,1
2887,64,26,11,1,7
2888,97,29,53,1,1
2889,106,16,61,0,1
2890,62,5,29,0,1
2891,73,35,52,3,5
2892,78,18,68,0,8
2893,122,27,2,0,1
2894,67,30,13,0,1
2895,249,22,6,0,3
2896,110,19,87,4,3
2897,127,18,97,0,2
2898,104,14,37,0,2
2899,109,9,10,0,1
2900,129,1,78,0,4
2901,67,24,38,0,8
2902,62,19,54,0,1
2903,103,6,20,0,1
2904,113,10,74,1,1
2905,63,5,74,0,2
2906,71,29,70,0,1
2907,90,19,17,0,5
2908,185,0,84,0,2
2909,66,30,64,0,5
2910,69,24,99,0,2
2911,105,7,91,0,2
2912,70,7,91,0,8
2913,92,19,10,0,3
2914,74,22,94,3,2
2915,191,2,70,0,1
2916,67,25,26,0,3
2917,92,24,95,4,1
2918,63,4,52,0,2
2919,61,6,48,0,2
2920,117,26,33,0,2
2921,74,9,2,0,7
2922,64,6,3,1,3
2923,109,26,11,0,3
2924,111,5,59,0,1
2925,62,0,70,0,1
2926,64,11,92,0,3
2927,73,21,4,0,9
2928,61,1,14,0,1
2929,72,27,9,1,3
2930,83,25,87,1,2
2931,74,24,54,2,2
2932,69,14,46,0,5
2933,80,8,71,0,2
2934,65,8,23,0,1
2935,199,5,42,0,1
2936,76,4,43,5,2
2937,67,22,18,0,2
2938,67,9,20,3,2
2939,87,26,53,0,1
2940,113,13,6,0,3
2941,69,30,44,0,3
2942,88,3,64,0,2
2943,181,22,79,0,8
2944,69,11,43,4,2
2945,104,5,25,0,3
2946,64,23,16,1,1
2947,63,1,9,0,1
2948,100,3,65,3,1
2949,69,30,69,0,9
2950,62,1,99,0,5
2951,61,2,20,0,1
2952,69,23,54,0,1
2953,65,29,35,2,2
2954,193,11,46,1,3
2955,86,20,23,0,1
2956,107,11,48,1,1
2957,73,35,52,3,5
2958,81,0,71,2,2
2959,91,3,21,0,1
2960,63,3,35,1,4
2961,70,11,94,0,1
2962,107,3,46,0,1
2963,76,4,51,1,2
2964,117,14,3,0,1
2965,74,2,59,0,5
2966,72,10,99,0,2
2967,108,23,94,0,2
2968,103,3,26,0,3
2969,65,12,81,3,1
2970,67,9,30,0,1
2971,76,34,48,0,1
2972,83,2,43,0,2
2973,69,12,89,0,8
2974,96,11,55,0,5
2975,72,0,93,3,1
2976,80,9,96,0,1
2977,103,35,71,1,3
2978,88,24,12,0,2
2979,103,2,46,0,2
2980,65,30,55,1,4
2981,61,35,71,0,2
2982,100,4,22,1,2
2983,108,23,55,0,2
2984,110,35,46,0,1
2985,65,4,65,3,2
2986,72,4,14,0,1
2987,67,9,89,0,9
2988,74,12,10,0,1
2989,211,31,52,0,5
2990,94,5,54,0,9
2991,118,17,79,0,6
2992,64,6,47,0,8
2993,135,35,4,0,5
2994,73,16,88,0,1
2995,97,11,37,0,7
2996,133,11,30,0,7
2997,110,5,75,2,3
2998,105,10,64,0,1
2999,124,7,2,3,6
3000,113,32,7,1,2
3001,134,32,55,0,2
3002,92,2,17,0,1
3003,67,11,26,0,1
3004,61,18,84,0,6
3005,94,27,52,1,1
3006,64,2,80,0,1
3007,118,1,59,0,2
3008,214,8,89,1,2
3009,67,2,94,0,1
3010,80,12,14,0,1
3011,68,31,30,1,3
3012,80,10,11,0,2
3013,69,32,45,0,2
3014,84,6,59,0,9
3015,66,17,29,0,3
3016,67,15,17,0,1
3017,108,2,55,1,1
3018,68,13,22,0,8
3019,108,7,9,0,7
3020,71,25,30,0,1
3021,109,16,70,1,1
3022,73,15,68,0,7
3023,95,12,17,1,6
3024,111,7,37,0,1
3025,69,27,50,1,9
3026,70,17,80,0,2
3027,100,9,75,0,2
3028,187,22,97,1,2
3029,109,2,86,0,1
3030,74,25,85,0,3
3031,71,11,72,0,1
3032,74,27,5,0,3
3033,119,26,26,4,1
3034,71,3,34,3,6
3035,101,7,54,0,1
3036,125,0,59,1,8
3037,96,35,27,0,6
3038,61,15,6,0,1
3039,80,8,79,0,2
3040,91,33,47,0,7
3041,68,27,16,0,1
3042,105,0,16,0,4
3043,130,12,15,0,1
3044,118,19,86,0,1
3045,63,15,67,0,1
3046,71,1,29,0,4
3047,67,33,39,0,9
3048,68,4,17,0,9
3049,69,12,60,0,1
3050,118,32,43,1,1
3051,179,11,43,0,3
3052,64,9,95,0,1
3053,73,11,95,0,3
3054,73,10,3,0,2
3055,232,27,57,0,7
3056,66,31,14,0,1
3057,70,29,93,0,2
3058,72,2,11,0,1
3059,71,20,22,0,3
3060,90,12,91,1,3
3061,115,18,30,1,1
3062,74,0,44,0,2
3063,118,6,41,0,1
3064,118,0,58,0,2
3065,121,30,85,0,1
3066,71,19,54,0,1
3067,244,4,33,0,5
3068,67,6,67,0,3
3069,61,24,34,0,4
3070,114,2,45,0,1
3071,193,32,27,0,3
3072,66,34,44,0,8
3073,63,10,66,0,2
3074,74,1,22,0,6
3075,118,11,85,0,2
3076,67,18,44,0,3
3077,67,12,70,0,8
3078,81,24,91,0,6
3079,104,30,88,0,1
3080,98,8,42,0,3
3081,109,4,23,1,1
3082,90,6,64,0,6
3083,101,18,39,0,2
3084,63,5,84,0,1
3085,181,4,50,0,1
3086,91,16,58,0,3
3087,71,17,15,0,2
3088,71,8,27,0,3
3089,72,27,38,2,1
3090,113,12,66,2,7
3091,138,2,46,0,1
3092,71,35,93,0,2
3093,70,21,50,0,3
3094,114,0,14,0,1
3095,72,6,31,0,1
3096,86,7,31,0,1
3097,76,16,56,0,3
3098,65,18,48,0,1
3099,70,3,81,0,2
3100,146,7,50,0,2
3101,61,17,41,2,5
3102,68,28,86,0,6
3103,138,23,76,0,1
3104,94,28,66,0,2
3105,88,14,38,0,2
3106,96,17,3,0,3
3107,78,14,99,0,4
3108,114,27,39,0,4
3109,67,16,56,0,2
3110,67,28,22,0,5
3111,91,29,50,1,1
3112,106,0,44,0,7
3113,69,15,85,0,1
3114,181,22,79,0,8
3115,88,33,92,0,3
3116,92,30,55,1,1
3117,101,24,83,0,1
3118,73,26,24,0,7
3119,115,13,43,0,4
3120,70,28,27,0,3
3121,66,8,11,0,2
3122,70,3,42,0,1
3123,67,11,6,0,2
3124,78,21,2,0,1
3125,100,30,73,0,1
3126,85,26,60,0,1
3127,91,3,45,0,7
3128,67,28,78,0,3
3129,71,29,59,0,5
3130,62,11,48,0,1
3131,88,3,99,0,6
3132,66,4,98,0,2
3133,63,25,57,0,6
3134,96,15,73,0,2
3135,67,20,29,2,2
3136,72,25,92,0,2
3137,96,28,44,0,1
3138,69,4,78,2,4
3139,100,34,31,0,2
3140,112,6,71,0,9
3141,90,18,84,0,2
3142,80,2,49,1,1
3143,70,21,50,0,3
3144,71,10,22,0,1
3145,182,8,70,0,2
3146,65,3,30,0,9
3147,117,17,41,1,9
3148,71,16,30,1,2
3149,124,13,70,0,2
3150,103,8,63,0,2
3151,65,7,67,0,7
3152,136,13,28,0,4
3153,104,7,61,0,1
3154,116,5,55,0,4
3155,125,6,61,0,2
3156,214,8,89,1,2
3157,76,5,13,0,5
3158,69,2,70,1,1
3159,90,8,33,0,1
3160,87,28,94,0,2
3161,97,14,85,0,6
3162,104,23,18,0,2
3163,70,2,22,0,9
3164,70,7,7,0,3
3165,104,2,5,0,6
3166,65,29,31,0,4
3167,104,13,20,0,3
3168,105,3,56,0,2
3169,71,1,52,0,9
3170,111,26,75,0,1
3171,70,15,44,0,2
3172,61,0,79,1,1
3173,83,11,65,0,3
3174,69,16,44,0,1
3175,110,6,74,0,1
3176,99,9,17,0,1
3177,70,24,19,0,2
3178,72,33,6,2,1
3179,78,24,92,0,2
3180,101,19,11,1,8
3181,105,16,16,0,2
3182,79,1,26,0,1
3183,113,12,59,0,7
3184,183,7,75,0,2
3185,72,26,33,1,2
3186,64,23,81,0,8
3187,62,27,20,0,3
3188,81,21,37,0,8
3189,185,14,93,2,1
3190,110,0,17,0,1
3191,69,5,74,0,7
3192,136,28,17,1,1
3193,78,19,18,0,1
3194,84,14,40,2,2
3195,185,25,29,0,1
3196,65,34,94,0,3
3197,68,2,38,0,1
3198,68,10,37,0,2
3199,102,16,1,0,2
3200,79,16,9,1,1
3201,154,26,85,0,1
3202,126,20,68,1,2
3203,187,12,61,0,2
3204,85,9,66,5,5
3205,99,21,6,0,6
3206,102,28,11,0,1
3207,71,25,82,0,2
3208,66,20,41,0,1
3209,73,14,52,0,2
3210,198,11,86,0,2
3211,119,32,66,0,3
3212,71,27,16,0,7
3213,105,33,90,0,4
3214,119,32,25,0,1
3215,80,22,62,0,6
3216,74,25,76,1,1
3217,121,11,61,0,2
3218,81,12,59,0,2
3219,122,27,2,0,1
3220,68,10,59,2,2
3221,100,24,66,1,1
3222,86,33,77,1,2
3223,87,18,8,0,9
3224,67,34,30,0,1
3225,94,3,38,0,1
3226,133,0,7,0,2
3227,85,28,47,0,5
3228,65,35,70,0,2
3229,61,29,31,3,2
3230,97,28,29,0,1
3231,130,20,22,5,1
3232,86,6,57,2,2
3233,68,19,2,3,2
3234,117,18,96,1,1
3235,125,10,26,0,1
3236,66,7,43,1,5
3237,105,7,42,0,3
3238,72,17,2,0,2
3239,124,7,36,1,1
3240,113,7,42,0,2
3241,70,20,23,0,9
3242,66,19,15,0,2
3243,73,18,45,0,5
3244,138,22,18,0,1
3245,97,22,5,0,3
3246,99,18,35,0,8
3247,98,24,8,3,3
3248,108,25,82,1,4
3249,66,31,54,1,2
3250,95,35,28,0,1
3251,106,8,65,0,1
3252,104,34,80,0,2
3253,62,10,39,0,1
3254,143,9,20,0,1
3255,63,33,81,2,2
3256,114,24,10,3,9
3257,80,13,57,1,4
3258,71,13,55,0,6
3259,71,22,2,0,2
3260,117,3,0,0,2
3261,70,17,66,0,1
3262,140,5,96,0,3
3263,83,13,62,0,9
3264,109,30,14,0,2
3265,61,16,55,0,1
3266,71,16,99,1,9
3267,110,4,75,1,2
3268,69,20,99,0,9
3269,82,12,40,0,6
3270,68,5,72,1,3
3271,68,13,25,3,3
3272,62,25,98,0,3
3273,211,30,13,0,6
3274,107,3,65,0,3
3275,68,6,22,1,1
3276,106,24,8,0,3
3277,92,13,9,0,2
3278,104,29,4,0,3
3279,61,19,61,0,9
3280,73,32,35,0,4
3281,113,0,11,0,3
3282,65,5,68,3,9
3283,97,0,37,2,2
3284,66,21,74,0,2
3285,95,32,69,0,2
3286,96,24,16,0,6
3287,67,19,16,0,1
3288,61,22,86,0,3
3289,67,18,71,1,8
3290,103,17,18,0,1
3291,106,11,30,0,1
