,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
4228,17622,65,1,36,1,3,312
4229,90607,70,8,89,0,3,311
4230,42795,73,2,38,0,4,350
4231,27042,110,17,3,0,7,1263
4232,27984,62,7,51,1,2,445
4233,26021,126,6,32,0,2,331
4234,25448,71,11,59,0,2,345
4235,52009,68,20,29,0,2,250
4236,23504,69,19,56,0,1,374
4237,37657,71,16,90,3,9,569
4238,40774,110,28,59,1,1,394
4239,36812,92,23,98,1,4,392
4240,72540,88,7,3,0,2,631
4241,51240,70,0,37,2,5,283
4242,20396,76,15,60,1,4,364
4243,35654,72,17,19,0,1,515
4244,93884,65,7,10,0,1,312
4245,37657,68,6,35,0,1,379
4246,30344,107,29,79,0,9,342
4247,28738,62,2,95,0,1,81
4248,70958,115,1,57,0,7,115
4249,22103,109,16,31,0,2,160
4250,37657,103,29,91,0,6,741
4251,70795,68,10,95,0,4,177
4252,32821,129,35,40,0,4,25
4253,22520,73,17,64,0,3,350
4254,37657,72,31,75,0,9,518
4255,56263,93,27,31,0,2,446
4256,37657,72,17,52,0,2,345
4257,37657,64,25,33,0,5,307
4258,37657,65,9,31,0,2,312
4259,31993,66,14,4,1,1,39
4260,40994,106,8,94,0,8,60
4261,29638,64,19,16,0,8,307
4262,37657,119,18,65,0,2,729
4263,26056,73,17,73,0,2,355
4264,22821,131,26,99,0,3,740
4265,84581,96,25,50,0,2,4
4266,22193,74,13,74,0,2,415
4267,30969,63,26,79,1,2,358
4268,70263,93,30,66,0,5,7
4269,35056,96,12,52,3,1,460
4270,73435,69,9,25,0,4,331
4271,86096,108,30,1,0,1,518
4272,37657,139,6,9,0,1,1000
4273,55808,116,31,4,0,7,551
4274,29695,94,34,66,0,2,554
4275,88043,61,2,43,0,3,188
4276,60875,92,0,84,0,3,410
4277,37657,77,25,48,0,2,12
4278,37657,118,0,67,0,8,849
4279,70974,71,15,0,0,1,340
4280,37518,131,35,91,0,6,472
4281,28128,70,6,52,0,4,336
4282,45254,93,4,25,3,4,446
4283,85537,108,4,91,0,2,285
4284,74608,68,11,4,1,1,407
4285,41004,102,15,26,3,2,489
4286,38884,102,4,87,0,1,423
4287,97131,64,5,80,0,6,307
4288,37657,84,6,93,0,7,403
4289,22331,64,11,12,0,1,61
4290,37541,109,10,31,0,2,96
4291,27357,61,19,48,0,5,292
4292,37657,72,19,48,0,1,41
4293,11885,101,18,39,0,2,484
4294,52717,109,5,60,0,8,60
4295,57693,76,16,56,0,3,547
4296,37657,104,29,73,0,2,748
4297,73903,73,30,39,0,2,439
4298,37657,281,16,92,1,2,1499
4299,37657,111,3,73,3,6,532
4300,79452,65,33,75,0,1,187
4301,72540,88,7,3,0,2,631
4302,89513,116,5,12,0,6,232
4303,60920,64,10,61,0,2,231
4304,88669,66,9,18,1,4,213
4305,79090,107,2,74,0,3,289
4306,17101,113,1,88,0,2,542
4307,44788,61,6,48,0,2,386
4308,37657,93,8,42,1,3,604
4309,26790,71,4,41,0,1,340
4310,81955,126,3,21,0,2,720
4311,80213,70,12,17,0,2,440
4312,37657,66,3,21,0,1,90
4313,47950,170,23,86,1,8,780
4314,37657,101,1,83,4,1,960
4315,37657,65,8,50,0,1,312
4316,72353,66,27,15,0,2,316
4317,81872,115,10,55,0,2,256
4318,74606,68,2,34,0,5,109
4319,37657,138,23,54,0,3,993
4320,41438,72,8,39,0,9,323
4321,52679,110,25,21,2,1,528
4322,37657,101,4,60,0,1,1183
4323,44524,70,28,42,0,2,200
4324,60244,83,3,72,3,1,326
4325,22711,82,8,74,0,2,393
4326,37657,73,9,94,0,2,350
4327,50398,71,18,51,0,2,339
4328,37657,86,19,99,1,2,412
4329,37657,66,1,73,0,2,475
4330,37657,102,16,34,0,5,1037
4331,37657,114,11,20,0,3,1310
4332,87197,63,35,45,0,3,247
4333,37657,100,22,24,0,3,720
4334,85221,117,11,42,0,4,516
4335,96306,95,12,17,1,6,185
4336,37657,66,3,97,0,1,316
4337,22249,64,4,88,0,2,455
4338,37657,62,6,62,0,3,382
4339,54507,138,20,11,0,1,702
4340,37657,101,34,52,4,1,484
4341,20754,184,19,15,0,7,1324
4342,37657,190,21,35,1,7,1654
4343,30027,65,13,10,0,1,312
4344,23156,88,9,6,2,1,422
4345,37657,93,7,85,0,4,669
4346,23222,90,10,66,0,4,252
4347,37657,65,16,90,0,1,468
4348,27317,102,30,12,0,2,489
4349,21073,106,25,54,1,3,508
4350,37657,225,26,53,0,2,1620
4351,69268,93,31,20,0,2,19
4352,74561,68,0,23,1,5,234
4353,72421,65,8,23,0,1,312
4354,37657,71,4,18,0,1,17
4355,57961,72,27,64,0,2,38
4356,35205,76,7,11,0,1,178
4357,37657,74,19,41,0,8,59
4358,72309,68,3,51,0,2,244
4359,76352,109,17,9,2,4,501
4360,37657,100,30,4,2,2,720
4361,29057,102,22,24,0,3,489
4362,37657,66,11,73,0,1,501
4363,25595,101,5,86,0,9,484
4364,58058,67,28,49,0,2,355
4365,22828,106,11,54,0,2,508
4366,37657,81,8,47,0,8,390
4367,23815,73,4,47,0,2,424
4368,45329,65,13,7,3,4,312
4369,59349,119,15,41,0,2,222
4370,19794,105,1,78,0,1,504
4371,92401,64,30,37,0,1,50
4372,37657,109,10,20,0,6,898
4373,83000,97,29,76,1,6,378
4374,77693,65,30,15,0,7,225
4375,62902,69,14,94,0,2,159
4376,37657,70,5,70,2,1,449
4377,43386,111,17,35,0,1,413
4378,29120,72,31,77,0,3,345
4379,48893,110,9,26,0,3,787
4380,92931,146,6,38,0,7,503
4381,15462,115,34,18,0,1,611
4382,37657,62,1,64,0,3,446
4383,70088,112,0,33,0,1,536
4384,25558,63,31,11,0,1,453
4385,37657,112,12,93,0,3,537
4386,37657,134,24,51,0,3,643
4387,36328,155,6,21,0,4,388
4388,32948,127,20,46,1,2,1428
4389,69114,103,9,68,0,4,162
4390,45302,133,4,34,0,2,638
4391,37657,88,28,23,0,4,110
4392,53173,112,30,57,0,4,1169
4393,23904,123,1,67,3,1,590
4394,63774,111,18,63,0,1,60
4395,67544,116,2,15,0,3,556
4396,26691,65,7,51,0,1,312
4397,37657,62,3,44,0,2,297
4398,58089,118,31,83,0,1,566
4399,37657,136,30,75,0,2,652
4400,99583,64,35,85,0,2,99
4401,37657,68,28,65,0,1,271
4402,24410,73,5,51,0,2,350
4403,68956,118,12,8,2,2,118
4404,37657,73,29,82,0,1,298
4405,20588,113,6,86,0,7,586
4406,37840,90,31,9,0,4,432
4407,43440,74,13,52,0,7,128
4408,83195,73,18,36,1,1,332
4409,37657,70,18,74,0,3,336
4410,43209,110,12,16,0,1,528
4411,37308,115,2,51,0,1,552
4412,22239,62,34,85,0,1,297
4413,66106,95,10,25,1,4,250
4414,97065,117,10,0,0,1,561
4415,24910,69,12,79,0,3,746
4416,49414,68,8,82,5,6,159
4417,61148,132,28,25,0,2,98
4418,52494,119,5,69,0,7,571
4419,20538,104,25,64,0,7,499
4420,37657,89,35,22,0,2,538
4421,73716,103,2,91,0,2,162
4422,26790,71,4,41,0,1,340
4423,37657,65,31,52,0,1,468
4424,53252,117,1,76,0,1,561
4425,24164,137,2,40,0,5,657
4426,20090,109,10,59,0,2,523
4427,81721,63,11,5,0,1,133
4428,18495,113,10,15,0,2,542
4429,42314,80,23,78,0,3,56
4430,89892,135,9,6,0,9,526
4431,37657,92,33,41,1,1,662
4432,37657,117,18,84,4,8,91
4433,21576,65,27,16,0,3,312
4434,10312,78,10,63,0,1,486
4435,50632,62,26,42,0,1,54
4436,37657,139,5,29,0,1,1000
4437,97917,67,14,32,5,3,279
4438,28280,116,7,55,0,9,556
4439,86195,139,12,10,0,3,601
4440,89797,106,19,8,0,1,70
4441,37657,63,16,5,0,5,302
4442,37657,192,1,27,0,1,1921
4443,33635,240,1,23,0,2,1152
4444,29790,194,25,49,0,3,931
4445,44656,70,2,80,0,2,336
4446,40870,105,3,56,0,2,504
4447,37657,117,8,64,0,1,94
4448,28363,133,0,35,0,3,638
4449,94508,88,27,54,0,3,491
4450,37657,64,24,73,0,2,324
4451,37657,124,13,1,0,2,696
4452,37657,77,10,36,1,2,554
4453,37657,116,10,99,0,3,835
4454,18017,114,23,54,0,9,547
4455,37657,117,15,68,0,2,930
4456,63741,91,25,15,0,6,36
4457,57078,113,26,13,1,8,542
4458,37657,67,21,28,0,1,458
4459,25239,100,30,59,0,7,150
4460,29227,74,0,83,0,7,421
4461,60021,99,12,28,0,1,882
4462,37657,73,23,59,0,1,780
4463,83208,68,10,93,0,4,325
4464,25983,90,32,43,0,2,432
4465,25965,65,23,27,0,1,329
4466,22679,72,25,32,0,4,345
4467,41186,70,15,29,4,3,242
4468,37657,67,7,4,0,2,445
4469,29070,61,8,99,2,3,292
4470,37657,63,13,49,0,7,302
4471,33485,63,6,41,0,1,343
4472,58206,64,2,56,0,3,454
4473,87492,62,15,69,0,1,264
4474,37657,98,29,37,0,1,705
4475,20757,102,6,74,3,9,216
4476,23449,61,33,2,0,8,292
4477,37657,192,35,34,0,2,921
4478,60455,104,20,25,0,2,499
4479,37657,89,12,73,4,1,640
4480,53588,77,10,71,0,1,369
4481,40870,105,3,56,0,2,504
4482,37657,71,11,68,0,1,340
4483,37657,129,2,69,0,2,1267
4484,45128,72,13,34,0,1,66
4485,90874,137,18,28,4,3,459
4486,52823,95,7,15,0,5,125
4487,26784,67,14,82,0,8,482
4488,22354,118,27,9,0,2,775
4489,54420,80,27,0,0,1,576
4490,50800,112,1,45,0,2,621
4491,37657,87,12,12,1,2,417
4492,84583,65,6,50,0,2,238
4493,33701,88,14,22,3,1,460
4494,37657,63,21,27,0,4,462
4495,68931,66,32,30,0,7,309
4496,37657,105,1,37,0,4,504
4497,37657,115,22,15,1,2,828
4498,29318,198,29,96,5,1,1386
4499,41503,73,28,69,0,2,15
4500,37657,126,16,69,0,8,604
4501,37657,69,9,68,0,1,427
4502,25905,63,21,12,0,1,302
4503,37657,116,18,86,0,1,835
4504,40046,73,10,51,0,1,118
4505,58577,110,6,62,0,1,303
4506,70129,103,24,57,1,1,130
4507,91268,229,32,62,0,5,737
4508,12902,139,3,51,0,1,667
4509,62053,134,3,89,0,5,614
4510,30389,73,34,66,0,4,278
4511,15585,65,22,24,0,1,67
4512,23091,96,28,90,5,5,460
4513,22571,63,29,51,0,9,302
4514,37657,61,0,62,0,1,691
4515,37657,82,14,56,3,1,393
4516,73976,73,27,84,0,3,338
4517,30814,87,8,96,0,3,417
4518,80681,74,31,12,0,1,355
4519,60934,82,15,64,0,1,393
4520,37657,62,19,3,2,2,446
4521,80797,64,21,47,0,9,300
4522,89410,74,11,50,0,1,95
4523,52728,127,34,34,1,1,609
4524,43199,61,23,31,0,3,334
4525,43510,83,8,75,0,1,238
4526,28909,66,15,66,0,8,456
4527,37657,122,15,47,0,9,650
4528,71176,91,3,62,2,1,278
4529,84429,123,11,2,0,6,115
4530,61613,61,6,20,1,9,40
4531,68370,80,0,45,0,1,244
4532,52389,72,29,8,1,9,345
4533,64478,103,30,92,0,1,8
4534,59207,116,23,21,0,2,556
4535,17162,96,15,29,0,1,460
4536,37657,101,1,83,4,1,960
4537,14973,115,2,75,0,2,828
4538,56342,69,12,89,0,1,331
4539,73054,106,34,36,1,2,419
4540,21586,106,6,5,0,1,1056
4541,37657,117,11,63,0,5,842
4542,24193,185,26,79,0,2,785
4543,84815,68,9,37,0,2,279
4544,18495,113,10,15,0,2,542
4545,36554,70,6,62,1,2,433
4546,37657,68,3,36,0,9,656
4547,99845,110,23,25,1,8,528
4548,37657,69,13,90,0,3,344
4549,10853,104,11,18,0,1,350
4550,23749,77,20,6,0,4,151
4551,37657,69,18,71,2,2,331
4552,37657,88,29,19,0,1,422
4553,92783,61,1,47,0,6,6
4554,83502,68,25,36,0,1,368
4555,83846,74,22,94,3,2,355
4556,18606,110,12,45,1,1,568
4557,72191,68,19,48,0,2,209
4558,57733,66,24,66,0,5,393
4559,63688,99,28,93,0,6,475
4560,55855,79,10,71,0,1,272
4561,60021,99,12,28,0,1,882
4562,37657,73,17,44,0,7,496
4563,74300,122,23,38,0,2,354
4564,37657,96,6,8,0,1,460
4565,51747,71,8,71,0,2,340
4566,28887,73,16,15,2,1,425
4567,37657,189,24,93,0,6,1415
4568,37657,68,0,93,3,5,546
4569,43540,70,29,60,0,1,117
4570,96961,64,24,99,0,2,81
4571,32799,104,7,27,0,3,499
4572,37657,101,12,38,0,1,1201
4573,72540,88,7,3,0,2,631
4574,35173,180,24,9,2,1,415
4575,65431,69,7,90,0,1,331
4576,37657,100,20,48,0,6,480
4577,37657,72,23,7,0,3,345
4578,37657,84,35,42,0,2,604
4579,40672,121,28,99,0,3,580
4580,52583,113,12,59,0,7,528
4581,64816,69,30,33,0,7,331
4582,36685,74,15,25,0,5,355
4583,37657,136,20,98,3,6,979
4584,77143,125,5,49,3,2,176
4585,60942,64,11,56,0,1,288
4586,37657,61,12,77,0,2,366
4587,21514,62,0,59,0,2,257
4588,25927,103,6,20,0,1,674
4589,25965,65,23,27,0,1,329
4590,27688,92,8,86,0,9,572
4591,75490,97,33,20,0,7,43
4592,33871,136,2,23,0,2,933
4593,37657,65,27,37,2,1,468
4594,85470,109,23,31,0,6,523
4595,97095,70,4,8,0,5,208
4596,73604,114,15,89,0,1,184
4597,37657,112,13,33,0,1,1082
4598,40646,103,22,6,0,8,494
4599,74454,71,25,29,0,3,340
4600,18168,87,25,50,0,1,417
4601,37657,89,4,86,0,7,614
4602,37657,66,4,6,2,2,316
4603,43597,110,20,24,0,6,528
4604,37657,140,15,87,0,1,672
4605,66825,69,11,47,0,2,70
4606,37657,62,1,9,5,2,297
4607,37657,74,13,42,1,1,532
4608,22448,126,20,32,0,2,604
4609,42596,96,8,82,0,2,42
4610,37657,70,3,35,0,5,646
4611,97868,70,5,22,1,3,267
4612,92921,112,35,49,0,1,109
4613,41372,64,21,32,0,1,307
4614,26660,63,23,40,0,8,453
4615,58851,79,11,33,1,2,494
4616,95697,107,29,29,0,9,178
4617,37657,112,16,12,0,1,537
4618,37657,84,4,52,1,4,403
4619,81741,64,10,94,0,8,186
4620,48295,63,25,96,0,8,290
4621,65538,72,24,86,0,3,261
4622,53997,69,26,3,0,3,345
4623,93272,95,3,54,0,1,281
4624,68899,74,6,60,0,1,66
4625,37657,67,20,14,0,2,321
4626,37657,97,31,43,0,7,698
4627,54950,103,25,75,0,7,480
4628,96306,95,12,17,1,6,185
4629,70342,96,3,99,1,1,685
4630,72421,65,8,23,0,1,312
4631,37657,132,5,88,3,1,950
4632,77748,72,1,51,0,1,7
4633,19096,64,17,5,0,3,374
4634,73876,112,19,71,0,8,419
4635,37657,237,1,29,0,5,1706
4636,20742,100,17,52,0,2,455
4637,44804,114,15,13,0,1,778
4638,52993,64,16,86,0,2,304
4639,49185,61,11,92,0,8,126
4640,69240,194,16,29,0,2,744
4641,26877,131,5,2,0,1,628
4642,82828,67,14,36,1,2,217
4643,99824,63,1,56,0,1,302
4644,30352,89,21,13,0,2,146
4645,37657,69,7,68,0,1,331
4646,27681,83,13,62,0,9,398
4647,85478,103,29,15,0,6,224
4648,94310,70,1,76,4,1,430
4649,13663,97,1,66,0,2,465
4650,10384,151,5,72,0,5,914
4651,17272,93,30,58,0,1,446
4652,64367,104,2,14,0,9,96
4653,47519,96,21,2,0,4,245
4654,26263,85,11,31,0,2,475
4655,37657,63,30,34,0,2,556
4656,37657,93,2,70,0,9,855
4657,77309,83,22,6,0,1,596
4658,50876,61,13,60,0,1,171
4659,20284,65,14,84,1,3,532
4660,22567,69,6,12,0,1,496
4661,63546,64,1,53,0,1,131
4662,37657,89,0,12,0,5,640
4663,28137,65,23,2,0,1,312
4664,22608,77,5,10,0,1,369
4665,92296,69,4,65,0,1,331
4666,37657,69,9,72,5,3,331
4667,12430,73,22,13,0,4,350
4668,37657,116,19,99,0,1,1301
4669,50470,71,1,87,0,8,377
4670,44788,61,6,48,0,2,386
4671,52423,119,2,80,1,2,571
4672,29696,139,17,41,0,3,478
4673,26884,89,11,84,0,1,238
4674,64388,69,12,51,0,1,331
4675,37657,61,13,37,0,2,292
4676,34498,83,30,72,0,7,398
4677,73060,108,9,78,0,2,518
4678,37657,63,8,83,0,1,453
4679,61337,105,35,46,0,9,2
4680,37657,73,28,8,0,3,350
4681,59496,88,22,64,0,1,189
4682,37657,180,4,45,0,6,1474
4683,37813,78,4,26,1,5,39
4684,55907,104,23,64,0,2,499
4685,80480,72,6,55,0,7,242
4686,72734,66,7,96,0,2,195
4687,37657,72,27,60,0,1,22
4688,36548,76,10,95,0,1,547
4689,62113,104,1,0,0,1,5
4690,37657,67,7,75,0,5,747
4691,41252,109,25,31,0,1,514
4692,61139,76,4,16,0,4,364
4693,26744,68,16,61,0,1,326
4694,37657,132,17,34,0,3,950
4695,74640,66,0,44,0,2,375
4696,88126,64,27,71,1,1,151
4697,55005,70,31,39,1,1,336
4698,33190,123,1,95,0,4,40
4699,37657,71,4,64,4,2,839
4700,37657,117,0,42,0,1,609
4701,37657,97,31,34,2,9,669
4702,37657,64,0,8,1,1,731
4703,25226,71,13,97,1,4,340
4704,63398,83,29,46,0,1,292
4705,30092,108,33,90,0,9,192
4706,37876,69,13,15,0,1,300
4707,12201,84,14,63,0,4,604
4708,37970,115,8,44,0,3,124
4709,28898,67,15,85,0,1,82
4710,23845,61,33,34,0,1,292
4711,62810,187,14,22,1,1,32
4712,65773,89,24,35,4,1,245
4713,37657,69,1,25,0,4,232
4714,37657,86,29,45,0,2,568
4715,37657,95,14,15,1,1,476
4716,41479,94,14,38,1,1,19
4717,72433,126,34,48,0,1,343
4718,74586,103,14,19,0,2,494
4719,37657,234,11,26,0,7,1135
4720,67326,69,17,32,0,2,331
4721,25285,114,12,84,0,2,547
4722,15871,89,20,19,0,4,427
4723,38795,82,30,41,1,3,393
4724,24882,72,13,20,0,8,345
4725,33169,128,33,14,0,1,614
4726,86305,62,1,99,0,5,80
4727,37657,112,31,21,0,1,537
4728,32210,103,16,97,0,1,494
4729,69090,139,24,11,0,5,387
4730,37657,63,23,88,0,3,523
4731,83308,73,3,81,1,7,419
4732,39034,68,10,55,0,2,466
4733,46750,82,20,74,1,3,672
4734,39786,91,2,91,1,9,365
4735,56788,108,22,34,5,7,579
4736,90156,114,16,6,0,1,388
4737,63867,89,21,4,1,3,432
4738,83413,118,0,1,0,1,134
4739,37657,118,2,48,0,1,566
4740,36116,171,27,33,2,2,158
4741,56342,69,12,89,0,1,331
4742,55542,117,1,76,0,5,310
4743,58466,66,7,79,1,2,316
4744,12964,65,2,37,0,4,362
4745,43412,94,33,38,0,1,509
4746,82611,74,23,87,1,1,355
4747,28915,76,10,49,0,2,364
4748,37657,207,13,68,0,6,1490
4749,37657,70,19,27,0,1,336
4750,91774,81,4,21,0,1,285
4751,27972,61,7,38,0,1,292
4752,37657,96,11,16,0,2,460
4753,37657,122,22,14,2,9,681
4754,77857,64,0,99,0,9,160
4755,37657,62,18,34,0,3,114
4756,56502,74,15,78,0,1,355
4757,95018,97,21,81,0,1,315
4758,23705,122,33,2,4,1,585
4759,72333,70,10,20,0,1,177
4760,37657,107,22,96,0,4,770
4761,47622,80,15,13,0,7,305
4762,37657,105,33,7,0,3,504
4763,79632,106,7,72,1,3,344
4764,16154,62,31,45,1,2,91
4765,72211,73,12,1,0,1,44
4766,70892,76,21,32,0,5,206
4767,49367,63,16,40,0,9,69
4768,68086,194,34,6,0,3,218
4769,90353,70,3,64,0,7,72
4770,49558,115,1,73,0,1,552
4771,93485,72,31,40,0,2,127
4772,10629,74,17,15,0,8,532
4773,10237,72,31,97,0,1,253
4774,87517,112,1,28,1,1,802
4775,23241,70,11,14,0,9,504
4776,60861,66,8,82,0,4,65
4777,21726,104,20,79,0,8,697
4778,36313,67,3,38,2,9,300
4779,29160,87,25,62,0,1,417
4780,37657,99,15,79,0,5,712
4781,37657,188,5,67,0,1,1621
4782,48139,63,9,41,0,9,329
4783,37657,76,28,55,5,3,38
4784,13688,84,25,2,0,8,403
4785,37657,73,16,77,0,9,525
4786,27649,63,3,63,0,2,302
4787,24191,80,11,32,0,1,103
4788,37657,71,11,77,0,1,517
4789,58493,67,13,53,0,4,321
4790,82477,90,1,69,0,1,432
4791,88663,79,20,86,0,7,379
4792,74057,109,27,24,0,1,523
4793,37657,63,2,82,2,8,302
4794,52342,66,28,28,3,2,316
4795,42012,63,13,84,0,1,40
4796,56021,69,20,38,0,2,279
4797,35124,137,18,46,0,2,986
4798,37657,62,4,49,1,1,439
4799,37657,125,8,55,0,1,900
4800,37202,93,30,86,0,1,322
4801,65985,71,3,47,5,4,42
4802,87771,74,8,9,4,2,355
4803,63624,115,10,40,2,2,306
4804,80192,129,8,69,0,9,200
4805,35945,105,14,25,0,1,756
4806,93004,63,31,2,0,2,205
4807,37657,89,4,24,0,4,941
4808,71210,214,8,89,1,2,1027
4809,99159,190,7,14,0,5,912
4810,81491,72,21,24,0,3,61
4811,99875,108,12,37,0,2,114
4812,51705,139,26,79,0,1,545
4813,39837,201,11,63,0,2,381
4814,31421,81,5,95,0,2,388
4815,81531,135,23,50,0,1,420
4816,25134,67,3,0,0,6,321
4817,37386,97,1,4,0,3,465
4818,37657,66,16,35,4,1,316
4819,99553,68,14,85,0,6,111
4820,37657,161,19,71,0,9,1159
4821,70705,69,31,61,2,6,272
4822,22724,69,21,39,0,1,9
4823,26320,111,3,92,0,9,603
4824,37657,69,7,90,0,8,806
4825,37657,70,24,10,0,1,425
4826,88218,99,9,25,0,2,50
4827,25180,70,21,44,0,9,235
4828,48091,108,30,66,0,9,132
4829,92539,100,1,55,0,1,25
4830,40658,61,24,79,1,1,38
4831,75453,112,6,90,0,1,163
4832,94003,64,14,39,0,1,307
4833,31737,218,17,2,0,3,1046
4834,37657,70,24,10,0,1,425
4835,37657,71,2,94,1,1,340
4836,37657,114,0,75,0,1,1343
4837,48885,190,31,90,0,9,1090
4838,37657,79,14,22,0,2,379
4839,86305,62,1,99,0,5,80
4840,28909,66,15,66,0,8,456
4841,37657,123,35,38,1,3,1088
4842,26140,84,23,37,1,1,403
4843,35095,73,25,56,0,2,525
4844,31678,63,7,3,0,1,76
4845,28245,62,0,16,0,2,297
4846,37657,72,0,97,0,2,345
4847,19168,106,12,54,1,2,508
4848,22705,239,19,59,0,7,1294
4849,86481,65,9,69,0,2,189
4850,38008,68,12,40,4,2,321
4851,63032,61,5,79,0,1,404
4852,27228,129,19,61,4,1,238
4853,37657,68,5,4,1,2,483
4854,13424,71,30,78,0,1,340
4855,59098,110,31,73,0,3,665
4856,16181,181,22,79,0,8,1261
4857,95697,107,29,29,0,9,178
4858,26806,63,32,19,0,2,302
4859,30595,69,22,36,0,2,446
4860,88079,61,16,37,0,3,121
4861,99803,71,1,67,0,2,189
4862,37657,118,26,43,0,2,1118
4863,37657,191,27,49,0,3,1375
4864,36283,68,14,63,1,1,291
4865,66991,115,1,71,0,1,399
4866,34322,70,20,46,2,1,336
4867,44855,63,3,71,1,1,103
4868,97729,115,4,48,1,7,221
4869,48263,104,2,32,0,1,674
4870,68343,79,20,78,0,2,379
4871,76847,118,16,52,0,3,31
4872,35795,65,25,53,0,1,312
4873,37657,71,1,29,0,2,340
4874,53074,61,5,86,0,1,268
4875,37657,63,13,48,0,1,732
4876,28743,112,9,13,0,3,537
4877,81839,65,23,39,1,4,74
4878,14030,72,11,3,0,1,345
4879,32764,61,30,23,0,1,292
4880,74775,95,18,35,0,1,676
4881,53503,114,3,43,0,7,547
4882,34455,135,8,69,0,2,648
4883,52198,74,2,62,0,1,355
4884,64429,133,1,58,2,2,222
4885,44788,61,6,48,0,2,386
4886,30130,110,22,12,0,2,528
4887,37657,65,34,84,0,1,149
4888,37657,275,3,64,1,1,1980
4889,34337,113,20,44,0,9,542
4890,22276,111,19,73,1,2,783
4891,52980,64,33,93,0,1,191
4892,97736,74,19,22,0,2,60
4893,37657,67,0,14,0,1,222
4894,37657,73,18,16,1,2,792
4895,68727,94,19,76,0,1,386
4896,71391,67,29,39,0,2,284
4897,62271,63,30,52,0,3,25
4898,37657,187,1,7,0,2,1346
4899,37657,86,12,96,0,8,412
4900,37657,76,8,44,0,3,364
4901,28506,104,27,37,0,1,499
4902,37657,86,17,35,0,1,412
4903,37657,94,14,17,0,2,676
4904,94161,69,0,65,0,4,108
4905,33345,102,34,37,0,2,694
4906,64195,158,0,27,4,6,618
4907,37657,138,1,34,0,2,688
4908,67414,68,7,37,0,8,148
4909,33176,63,22,75,0,3,302
4910,37657,139,5,56,0,2,667
4911,56779,86,21,16,0,3,435
4912,40810,114,8,14,0,2,780
4913,30622,68,22,86,0,2,326
4914,14119,67,4,53,0,2,68
4915,77237,283,33,93,0,2,1358
4916,24980,71,34,14,0,2,511
4917,66676,97,0,40,0,1,558
4918,37657,69,4,83,1,2,669
4919,37657,69,30,97,0,2,331
4920,37657,82,24,21,0,2,157
4921,41853,71,17,51,0,3,155
4922,23815,73,4,47,0,2,424
4923,22885,73,20,46,0,1,386
4924,32630,66,26,40,0,3,202
4925,18577,86,21,76,0,6,412
4926,75952,73,5,17,0,3,350
4927,96390,73,17,47,0,2,316
4928,25680,73,10,93,0,2,332
4929,37657,112,17,29,0,7,806
4930,51504,220,30,99,0,2,2552
4931,37657,74,15,9,3,1,532
4932,41456,73,11,19,0,1,257
4933,44368,80,5,72,0,3,384
4934,70961,85,19,8,0,2,408
4935,21986,63,1,9,0,1,333
4936,37657,83,14,22,0,1,708
4937,33514,105,33,2,0,2,265
4938,60230,98,13,91,0,1,8
4939,37657,70,17,47,1,1,494
4940,40818,66,6,3,0,6,316
4941,37937,116,11,42,0,5,556
4942,64571,89,34,91,0,6,452
4943,37657,126,29,61,0,3,421
4944,21988,209,12,62,0,2,1003
4945,37657,95,12,5,0,1,684
4946,24672,93,9,44,0,9,669
4947,37657,74,26,95,1,1,355
4948,37657,96,1,79,0,2,460
4949,72878,61,0,58,2,2,45
4950,88340,102,16,1,0,2,489
4951,52278,73,31,91,0,3,234
4952,12902,139,3,51,0,1,667
4953,99816,86,0,0,0,1,172
4954,26554,68,18,86,1,1,391
4955,77485,77,0,87,0,1,355
4956,22537,64,24,87,1,2,307
4957,76522,71,31,71,0,6,340
4958,37657,64,22,34,3,1,602
4959,22886,65,9,81,0,3,312
4960,37657,115,1,34,0,1,552
4961,25506,65,10,16,0,1,312
4962,37657,110,7,70,0,1,1265
4963,37657,98,19,17,1,2,705
4964,37657,191,22,38,0,1,2042
4965,37657,72,18,91,0,9,345
4966,96357,71,4,69,1,1,238
4967,16266,100,11,23,0,2,1177
4968,76516,95,13,15,0,9,661
4969,20484,61,3,89,0,1,181
4970,40215,64,11,22,0,3,98
4971,22854,122,28,53,0,2,878
4972,37657,118,6,34,1,1,264
4973,55217,107,9,9,2,9,696
4974,76276,86,24,19,0,2,93
4975,47918,62,2,51,0,1,246
4976,37657,73,35,52,3,5,350
4977,43499,80,8,44,0,1,529
4978,37657,72,14,58,0,1,518
4979,37657,71,11,21,3,2,476
4980,21497,128,31,58,0,1,614
4981,27972,61,7,38,0,1,292
4982,20942,84,12,59,0,2,403
4983,37657,71,31,52,0,4,511
4984,74298,177,9,81,0,1,161
4985,23339,138,8,31,0,1,666
4986,77031,125,17,17,0,1,600
4987,31739,71,10,29,0,2,469
4988,37657,66,4,30,0,5,420
4989,25236,89,2,26,0,1,427
4990,37657,103,25,16,1,1,685
4991,40964,74,7,57,0,8,355
4992,40896,109,3,61,0,1,319
4993,95733,72,19,82,0,3,475
4994,39161,71,8,84,3,1,340
4995,84551,72,10,82,0,5,28
4996,12843,111,6,47,0,3,1143
4997,71551,62,10,19,0,1,297
4998,37657,71,2,5,0,1,511
4999,77835,74,2,30,1,4,43
